Frame_Names,point1_col,point1_row,point2_col,point2_row
left_frame_0001.jpg,93,301,266,307
left_frame_0002.jpg,93,301,266,307
left_frame_0003.jpg,93,301,269,308
left_frame_0004.jpg,93,301,278,317
left_frame_0005.jpg,93,301,317,329
left_frame_0006.jpg,93,301,382,341
left_frame_0007.jpg,93,301,427,356
left_frame_0008.jpg,93,301,485,354
left_frame_0009.jpg,93,301,533,360
left_frame_0010.jpg,93,301,502,386
left_frame_0011.jpg,93,301,420,380
left_frame_0012.jpg,93,301,336,366
left_frame_0013.jpg,93,301,230,358
left_frame_0014.jpg,93,301,181,342
left_frame_0015.jpg,93,301,155,328
left_frame_0016.jpg,93,301,183,317
left_frame_0017.jpg,93,301,237,308
left_frame_0018.jpg,93,301,266,306
left_frame_0019.jpg,93,301,266,306
left_frame_0020.jpg,93,301,266,306
right_frame_0001.jpg,56,298,251,304
right_frame_0002.jpg,56,298,251,304
right_frame_0003.jpg,56,298,254,307
right_frame_0004.jpg,56,298,261,316
right_frame_0005.jpg,56,298,299,327
right_frame_0006.jpg,56,298,363,341
right_frame_0007.jpg,56,298,405,356
right_frame_0008.jpg,56,298,465,353
right_frame_0009.jpg,56,298,514,360
right_frame_0010.jpg,56,298,480,386
right_frame_0011.jpg,56,298,401,374
right_frame_0012.jpg,56,298,307,370
right_frame_0013.jpg,56,298,209,356
right_frame_0014.jpg,56,298,162,340
right_frame_0015.jpg,56,298,139,326
right_frame_0016.jpg,56,298,165,318
right_frame_0017.jpg,56,298,222,308
right_frame_0018.jpg,56,298,251,305
right_frame_0019.jpg,56,298,251,305
right_frame_0020.jpg,56,298,251,305
